CellLine	target	start_exon	end_exon	ID	exonStart_0base	exonEnd	ExonLen	Shift	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	KdSkip	CtlSkip
HepG2	AUH	#N/A	#N/A	65267	145560574	145560750	176	2	"3,10"	"91,125"	"1,6"	"177,247"	197	0.006392754	0.451431864	"0.016,0.039"	"0.003,0.012"	0.02	0.9725	0.9925
HepG2	DDX3X	#N/A	#N/A	57740	145560574	145560750	176	2	"4,5"	"80,94"	"1,0"	"148,168"	197	0.005070274	0.209202307	"0.025,0.026"	"0.003,0.0"	0.024	0.9745	0.9985
HepG2	GPKOW	#N/A	#N/A	54395	145560574	145560750	176	2	"3,10"	"64,90"	"2,1"	"99,139"	197	0.002057194	0.114301404	"0.023,0.053"	"0.01,0.004"	0.031	0.962	0.993
HepG2	RBM15	#N/A	#N/A	60042	145560574	145560750	176	2	"0,8"	"143,231"	"9,8"	"104,134"	197	0.006024969	0.354553431	"0.0,0.017"	"0.042,0.029"	-0.027	0.9915	0.9645
HepG2	SSB	#N/A	#N/A	66296	145560574	145560750	176	2	"5,9"	"97,93"	"1,6"	"177,247"	197	0.00132314	0.11237537	"0.025,0.046"	"0.003,0.012"	0.028	0.9645	0.9925
HepG2	UTP18	#N/A	#N/A	59353	145560574	145560750	176	2	"4,13"	"87,88"	"4,4"	"141,144"	197	0.005304145	0.993542809	"0.023,0.069"	"0.014,0.014"	0.032	0.954	0.986
K562	AQR	#N/A	3	165669	145552249	145552389	140	2	"162,99"	"3,1"	"440,321"	"0,0"	197	0.009853526	0.080290952	"0.964,0.98"	"1.0,1.0"	-0.028	0.028	0
HepG2	SRSF1	3	3	61221	145552249	145552337	88	1	"145,112"	"7,2"	"159,145"	"0,0"	186	0.004537106	0.082192586	"0.917,0.968"	"1.0,1.0"	-0.057	0.0575	0
K562	RAVER1	5	5	53960	145547690	145547828	138	0	"325,311"	"3,7"	"476,452"	"0,2"	197	0.006974811	0.563676473	"0.982,0.957"	"1.0,0.991"	-0.026	0.0305	0.0045
K562	SF3B4	5	5	63787	145547690	145547828	138	0	"243,318"	"2,7"	"476,452"	"0,2"	197	0.006769	0.093065274	"0.984,0.958"	"1.0,0.991"	-0.025	0.029	0.0045
HepG2	U2AF2	5	5	61079	145547690	145547828	138	0	"65,62"	"3,4"	"227,135"	"0,2"	199	0.001885328	0.024089054	"0.916,0.886"	"1.0,0.971"	-0.085	0.099	0.0145
K562	AQR	#N/A	13	165673	145532736	145532881	145	1	"219,141"	"27,10"	"472,446"	"28,16"	197	0.003078821	0.031271074	"0.803,0.876"	"0.894,0.933"	-0.074	0.1605	0.0865
K562	AQR	#N/A	13	165698	145532736	145532815	79	1	"219,140"	"27,10"	"472,443"	"28,16"	177	0.002769035	0.028675168	"0.819,0.887"	"0.904,0.939"	-0.069	0.147	0.0785
K562	AKAP8L	13	13	68949	145532736	145532790	54	0	"520,602"	"18,17"	"1956,1165"	"12,14"	152	2.29E-06	0.000226803	"0.95,0.958"	"0.991,0.982"	-0.032	0.046	0.0135
K562	AQR	13	13	165681	145532736	145532790	54	0	"331,189"	"27,10"	"734,675"	"28,16"	152	0.001006675	0.012280777	"0.889,0.925"	"0.945,0.965"	-0.048	0.093	0.045
K562	ATP5C1	13	13	67603	145532736	145532790	54	0	"911,811"	"27,28"	"1956,1165"	"12,14"	152	1.45E-07	0.000128496	"0.956,0.95"	"0.991,0.982"	-0.033	0.047	0.0135
K562	DDX19B	13	13	69221	145532736	145532790	54	0	"1292,1518"	"22,27"	"1956,1165"	"12,14"	152	0.006309033	0.648764026	"0.975,0.973"	"0.991,0.982"	-0.012	0.026	0.0135
K562	DDX3X	13	13	56035	145532736	145532790	54	0	"204,247"	"18,16"	"359,299"	"7,11"	152	0.001169933	0.452611119	"0.881,0.91"	"0.971,0.947"	-0.064	0.1045	0.041
K562	DDX47	13	13	72458	145532736	145532790	54	0	"1949,1431"	"13,7"	"1359,1334"	"14,22"	152	0.006499801	0.191733487	"0.99,0.993"	"0.984,0.975"	0.012	0.0085	0.0205
K562	DKC1	13	13	68263	145532736	145532790	54	0	"1071,897"	"33,18"	"1956,1165"	"12,14"	152	1.52E-05	0.01349065	"0.955,0.97"	"0.991,0.982"	-0.024	0.0375	0.0135
K562	EIF3D	13	13	62859	145532736	145532790	54	0	"351,257"	"5,0"	"247,298"	"6,15"	152	0.001745162	0.126167997	"0.979,1.0"	"0.964,0.928"	0.044	0.0105	0.054
K562	EIF3G	13	13	57086	145532736	145532790	54	0	"354,401"	"3,3"	"425,240"	"15,5"	152	0.00541593	0.334517916	"0.987,0.989"	"0.949,0.969"	0.029	0.012	0.041
K562	G3BP1	13	13	56053	145532736	145532790	54	0	"386,360"	"25,15"	"463,442"	"11,7"	152	0.001104403	0.336321518	"0.91,0.94"	"0.965,0.976"	-0.045	0.075	0.0295
K562	GLRX3	13	13	63444	145532736	145532790	54	0	"792,780"	"18,31"	"884,1134"	"16,15"	152	0.005564739	0.571391459	"0.966,0.942"	"0.973,0.98"	-0.022	0.046	0.0235
K562	GRSF1	13	13	80564	145532736	145532790	54	0	"585,434"	"42,36"	"476,517"	"11,25"	152	0.001067282	0.179268321	"0.901,0.887"	"0.966,0.931"	-0.054	0.106	0.0515
K562	HNRNPA2B1	13	13	64961	145532736	145532790	54	0	"1181,1298"	"43,33"	"6234,2830"	"23,33"	152	2.49E-14	1.04E-11	"0.947,0.962"	"0.994,0.982"	-0.034	0.0455	0.012
K562	HNRNPAB	13	13	62562	145532736	145532790	54	0	"2169,2315"	"45,40"	"4117,2353"	"29,29"	152	0.000234455	0.046626015	"0.969,0.974"	"0.989,0.981"	-0.013	0.0285	0.015
K562	HNRNPL	13	13	68407	145532736	145532790	54	0	"800,948"	"36,25"	"1359,1334"	"14,22"	152	3.66E-05	0.004799526	"0.935,0.961"	"0.984,0.975"	-0.032	0.052	0.0205
K562	HNRNPUL1	13	13	65231	145532736	145532790	54	0	"2013,1446"	"27,19"	"6234,2830"	"23,33"	152	0.001709692	0.093137748	"0.98,0.98"	"0.994,0.982"	-0.008	0.02	0.012
K562	IGF2BP2	13	13	59204	145532736	145532790	54	0	"382,336"	"27,7"	"463,442"	"11,7"	152	0.006361289	0.444686224	"0.902,0.969"	"0.965,0.976"	-0.035	0.0645	0.0295
K562	KIF1C	13	13	70331	145532736	145532790	54	0	"645,1412"	"17,23"	"1956,1165"	"12,14"	152	0.001817559	0.070747455	"0.961,0.976"	"0.991,0.982"	-0.018	0.0315	0.0135
K562	MBNL1	13	13	72277	145532736	145532790	54	0	"1509,956"	"35,28"	"1956,1165"	"12,14"	152	8.53E-06	0.002288475	"0.966,0.957"	"0.991,0.982"	-0.025	0.0385	0.0135
K562	MTPAP	13	13	65687	145532736	145532790	54	0	"659,714"	"28,25"	"884,1134"	"16,15"	152	0.00021441	0.046567569	"0.939,0.949"	"0.973,0.98"	-0.032	0.056	0.0235
K562	NAA15	13	13	66732	145532736	145532790	54	0	"550,538"	"20,18"	"1956,1165"	"12,14"	152	1.81E-07	2.85E-05	"0.947,0.951"	"0.991,0.982"	-0.037	0.051	0.0135
K562	NCBP2	13	13	57851	145532736	145532790	54	0	"263,314"	"18,22"	"359,299"	"7,11"	152	0.002476183	0.335667995	"0.905,0.903"	"0.971,0.947"	-0.055	0.096	0.041
K562	NSUN2	13	13	67108	145532736	145532790	54	0	"1015,961"	"26,33"	"884,1134"	"16,15"	152	0.007675768	0.436630111	"0.962,0.95"	"0.973,0.98"	-0.02	0.044	0.0235
K562	PABPN1	13	13	60738	145532736	145532790	54	0	"595,608"	"12,13"	"6234,2830"	"23,33"	152	1.46E-05	0.001035401	"0.97,0.968"	"0.994,0.982"	-0.019	0.031	0.012
K562	PCBP2	13	13	61058	145532736	145532790	54	0	"265,286"	"15,11"	"463,442"	"11,7"	152	0.007813165	0.169974508	"0.92,0.944"	"0.965,0.976"	-0.038	0.068	0.0295
K562	PPP1R8	13	13	63407	145532736	145532790	54	0	"1304,719"	"18,16"	"6234,2830"	"23,33"	152	8.71E-05	0.005997605	"0.979,0.967"	"0.994,0.982"	-0.015	0.027	0.012
K562	PUM1	13	13	85327	145532736	145532790	54	0	"1065,1491"	"13,15"	"714,1575"	"17,51"	152	6.59E-05	0.028100152	"0.982,0.985"	"0.965,0.953"	0.025	0.0165	0.041
K562	PUM2	13	13	84444	145532736	145532790	54	0	"1067,1004"	"17,15"	"714,1575"	"17,51"	152	0.008446691	0.652167754	"0.976,0.978"	"0.965,0.953"	0.018	0.023	0.041
K562	PUS1	13	13	74319	145532736	145532790	54	0	"481,718"	"19,21"	"1956,1165"	"12,14"	152	3.07E-07	1.55E-05	"0.943,0.957"	"0.991,0.982"	-0.036	0.05	0.0135
K562	RBM15	13	13	69346	145532736	145532790	54	0	"585,553"	"16,14"	"1956,1165"	"12,14"	152	6.58E-05	0.003142681	"0.96,0.963"	"0.991,0.982"	-0.025	0.0385	0.0135
K562	RBM25	13	13	54035	145532736	145532790	54	0	"180,254"	"33,42"	"429,481"	"16,17"	152	1.66E-11	2.97E-08	"0.78,0.798"	"0.946,0.949"	-0.158	0.211	0.0525
HepG2	RBM25	13	13	55649	145532736	145532790	54	0	"72,90"	"10,8"	"177,111"	"1,0"	152	1.81E-06	0.000290025	"0.824,0.88"	"0.991,1.0"	-0.144	0.148	0.0045
K562	RBM39	13	13	66484	145532736	145532790	54	0	"1650,1453"	"138,101"	"6234,2830"	"23,33"	152	0	0	"0.886,0.904"	"0.994,0.982"	-0.093	0.105	0.012
K562	RPS19	13	13	59037	145532736	145532790	54	0	"292,385"	"0,3"	"247,298"	"6,15"	152	8.97E-05	0.009079021	"1.0,0.988"	"0.964,0.928"	0.048	0.006	0.054
K562	SERBP1	13	13	56045	145532736	145532790	54	0	"242,329"	"23,25"	"247,298"	"6,15"	152	0.006754917	0.46124362	"0.873,0.896"	"0.964,0.928"	-0.061	0.1155	0.054
K562	SF3A3	13	13	72524	145532736	145532790	54	0	"531,744"	"39,69"	"884,1134"	"16,15"	152	5.22E-15	8.07E-12	"0.899,0.875"	"0.973,0.98"	-0.089	0.113	0.0235
HepG2	SF3A3	13	13	77726	145532736	145532790	54	0	"143,130"	"10,0"	"327,308"	"0,2"	152	0.000427499	0.015598395	"0.903,1.0"	"1.0,0.99"	-0.043	0.0485	0.005
K562	SF3B1	13	13	61046	145532736	145532790	54	0	"637,752"	"49,47"	"1057,911"	"4,10"	152	0	0	"0.894,0.912"	"0.994,0.983"	-0.085	0.097	0.0115
HepG2	SF3B1	13	13	58713	145532736	145532790	54	0	"429,389"	"6,10"	"561,613"	"0,0"	152	0.000201085	0.008992865	"0.979,0.962"	"1.0,1.0"	-0.03	0.0295	0
K562	SF3B4	13	13	63776	145532736	145532790	54	0	"195,234"	"102,59"	"429,481"	"16,17"	152	0	0	"0.555,0.721"	"0.946,0.949"	-0.309	0.362	0.0525
K562	SND1	13	13	52508	145532736	145532790	54	0	"422,385"	"4,2"	"425,240"	"15,5"	152	0.003066547	1	"0.986,0.992"	"0.949,0.969"	0.03	0.011	0.041
K562	SUGP2	13	13	63336	145532736	145532790	54	0	"2046,1614"	"43,27"	"6234,2830"	"23,33"	152	2.19E-07	5.45E-05	"0.969,0.975"	"0.994,0.982"	-0.016	0.028	0.012
K562	SUPT6H	13	13	64355	145532736	145532790	54	0	"1046,1405"	"14,22"	"6234,2830"	"23,33"	152	0.000710152	0.028781696	"0.98,0.977"	"0.994,0.982"	-0.01	0.0215	0.012
K562	TARDBP	13	13	68636	145532736	145532790	54	0	"187,227"	"25,42"	"463,442"	"11,7"	152	4.44E-15	2.92E-12	"0.83,0.779"	"0.965,0.976"	-0.166	0.1955	0.0295
K562	TIA1	13	13	58348	145532736	145532790	54	0	"381,290"	"24,15"	"463,442"	"11,7"	152	0.000413165	0.131826349	"0.912,0.926"	"0.965,0.976"	-0.051	0.081	0.0295
K562	TUFM	13	13	73239	145532736	145532790	54	0	"464,586"	"6,6"	"714,1575"	"17,51"	152	0.005508643	1	"0.981,0.985"	"0.965,0.953"	0.024	0.017	0.041
K562	U2AF1	13	13	58724	145532736	145532790	54	0	"268,252"	"31,30"	"429,481"	"16,17"	152	1.13E-06	6.71E-05	"0.849,0.845"	"0.946,0.949"	-0.101	0.153	0.0525
K562	UBE2L3	13	13	87080	145532736	145532790	54	0	"921,1744"	"19,22"	"714,1575"	"17,51"	152	0.005261526	0.782977929	"0.969,0.981"	"0.965,0.953"	0.016	0.025	0.041
K562	UTP18	13	13	70424	145532736	145532790	54	0	"859,644"	"20,12"	"1956,1165"	"12,14"	152	0.001051405	0.035492124	"0.965,0.972"	"0.991,0.982"	-0.018	0.0315	0.0135
K562	XPO5	13	13	61172	145532736	145532790	54	0	"1173,1054"	"24,27"	"6234,2830"	"23,33"	152	1.43E-08	9.96E-06	"0.97,0.962"	"0.994,0.982"	-0.022	0.034	0.012
K562	YTHDC2	13	13	63146	145532736	145532790	54	0	"1789,1774"	"28,25"	"6234,2830"	"23,33"	152	0.000172714	0.010833781	"0.977,0.979"	"0.994,0.982"	-0.01	0.022	0.012
K562	ZRANB2	13	13	57631	145532736	145532790	54	0	"368,364"	"10,19"	"481,422"	"8,5"	152	0.004015696	0.77501928	"0.96,0.926"	"0.975,0.982"	-0.035	0.057	0.0215
K562	SRSF1	#N/A	20	61093	145522434	145522668	234	0	"90,70"	"15,10"	"151,170"	"1,0"	197	1.46E-09	1.31E-07	"0.751,0.779"	"0.987,1.0"	-0.229	0.235	0.0065
K562	SRSF1	20	#N/A	61102	145522504	145522647	143	2	"140,135"	"15,10"	"255,280"	"1,0"	197	1.15E-09	1.05E-07	"0.824,0.872"	"0.992,1.0"	-0.148	0.152	0.004
K562	SRSF1	20	#N/A	61103	145522418	145522647	229	1	"140,135"	"15,10"	"257,281"	"1,0"	197	1.05E-09	9.72E-08	"0.824,0.872"	"0.992,1.0"	-0.148	0.152	0.004
K562	RBM39	20	20	66487	145522434	145522647	213	0	"150,88"	"5,2"	"101,254"	"0,0"	197	0.00548732	0.076834087	"0.938,0.957"	"1.0,1.0"	-0.052	0.0525	0
K562	SRSF1	20	20	61091	145522434	145522647	213	0	"229,203"	"15,10"	"406,449"	"1,0"	197	8.58E-10	8.09E-08	"0.885,0.911"	"0.995,1.0"	-0.1	0.102	0.0025
HepG2	SRSF1	20	20	61220	145522434	145522647	213	0	"78,114"	"5,4"	"132,93"	"0,0"	197	0.005714285	0.097349704	"0.887,0.935"	"1.0,1.0"	-0.089	0.089	0
K562	AGGF1	24	24	68468	145510581	145510672	91	1	"630,600"	"18,21"	"1468,911"	"3,1"	189	9.27E-12	2.76E-09	"0.948,0.937"	"0.996,0.998"	-0.054	0.0575	0.003
K562	AKAP8L	24	24	68951	145510581	145510672	91	1	"558,641"	"16,18"	"1468,911"	"3,1"	189	3.10E-10	8.94E-08	"0.948,0.949"	"0.996,0.998"	-0.049	0.0515	0.003
K562	EIF4A3	24	24	74634	145510581	145510672	91	1	"130,145"	"2,5"	"310,218"	"0,0"	189	0.001681661	0.041175558	"0.971,0.938"	"1.0,1.0"	-0.046	0.0455	0
K562	HNRNPA2B1	24	24	64962	145510581	145510672	91	1	"723,711"	"9,24"	"818,1215"	"0,3"	189	5.69E-08	6.88E-06	"0.977,0.939"	"1.0,0.995"	-0.04	0.042	0.0025
K562	KIF1C	24	24	70333	145510581	145510672	91	1	"530,1169"	"15,25"	"1468,911"	"3,1"	189	3.80E-09	1.62E-06	"0.949,0.961"	"0.996,0.998"	-0.042	0.045	0.003
K562	MAK16	24	24	68007	145510581	145510672	91	1	"492,1102"	"11,9"	"1468,911"	"3,1"	189	0.000573757	0.07403948	"0.959,0.985"	"0.996,0.998"	-0.025	0.028	0.003
K562	MBNL1	24	24	72280	145510581	145510672	91	1	"1229,717"	"28,9"	"1468,911"	"3,1"	189	3.89E-07	0.000188809	"0.958,0.977"	"0.996,0.998"	-0.029	0.0325	0.003
K562	NAA15	24	24	66734	145510581	145510672	91	1	"440,512"	"20,17"	"1468,911"	"3,1"	189	1.47E-13	9.73E-11	"0.92,0.94"	"0.996,0.998"	-0.067	0.07	0.003
HepG2	PABPC1	24	24	56733	145510581	145510672	91	1	"167,146"	"10,2"	"258,246"	"1,2"	189	0.00304111	0.169808797	"0.897,0.975"	"0.993,0.985"	-0.053	0.064	0.011
K562	PABPN1	24	24	60740	145510581	145510672	91	1	"340,328"	"4,11"	"818,1215"	"0,3"	189	4.46E-06	0.000375861	"0.978,0.94"	"1.0,0.995"	-0.039	0.041	0.0025
K562	PHF6	24	24	56410	145510581	145510672	91	1	"613,333"	"9,3"	"481,504"	"0,0"	189	0.006749047	0.735765007	"0.973,0.983"	"1.0,1.0"	-0.022	0.022	0
K562	PPP1R8	24	24	63408	145510581	145510672	91	1	"713,564"	"9,5"	"818,1215"	"0,3"	189	0.006013925	0.141023928	"0.976,0.983"	"1.0,0.995"	-0.018	0.0205	0.0025
K562	PUS1	24	24	74321	145510581	145510672	91	1	"406,597"	"33,28"	"1468,911"	"3,1"	189	0	0	"0.866,0.918"	"0.996,0.998"	-0.105	0.108	0.003
K562	RBM15	24	24	69348	145510581	145510672	91	1	"510,538"	"16,23"	"1468,911"	"3,1"	189	2.42E-13	9.16E-11	"0.943,0.925"	"0.996,0.998"	-0.063	0.066	0.003
K562	RBM39	24	24	66485	145510581	145510672	91	1	"840,652"	"23,19"	"818,1215"	"0,3"	189	3.28E-10	4.51E-08	"0.95,0.947"	"1.0,0.995"	-0.049	0.0515	0.0025
K562	SNRNP200	24	24	66138	145510581	145510672	91	1	"481,595"	"11,10"	"818,1215"	"0,3"	189	5.01E-06	0.000435865	"0.958,0.969"	"1.0,0.995"	-0.034	0.0365	0.0025
K562	SUPT6H	24	24	64345	145510581	145510672	91	1	"660,828"	"8,18"	"818,1215"	"0,3"	189	1.05E-05	0.001094612	"0.977,0.96"	"1.0,0.995"	-0.029	0.0315	0.0025
K562	TARDBP	24	24	68630	145510581	145510672	91	1	"386,410"	"18,5"	"680,683"	"7,0"	189	3.64E-05	0.002683	"0.918,0.977"	"0.981,1.0"	-0.043	0.0525	0.0095
K562	U2AF1	24	24	58725	145510581	145510672	91	1	"157,166"	"1,5"	"303,366"	"0,1"	189	0.007945365	0.115276585	"0.988,0.946"	"1.0,0.995"	-0.031	0.033	0.0025
K562	U2AF1	24	24	58726	145510581	145510672	91	1	"310,333"	"10,24"	"608,721"	"5,5"	189	2.28E-08	1.99E-06	"0.942,0.879"	"0.985,0.987"	-0.076	0.0895	0.014
HepG2	U2AF1	24	24	75364	145510581	145510672	91	1	"196,98"	"11,13"	"114,148"	"0,0"	189	1.10E-05	0.000413137	"0.903,0.798"	"1.0,1.0"	-0.149	0.1495	0
K562	UTP18	24	24	70426	145510581	145510672	91	1	"755,436"	"12,25"	"1468,911"	"3,1"	189	1.81E-11	1.04E-08	"0.971,0.901"	"0.996,0.998"	-0.061	0.064	0.003
K562	YTHDC2	24	24	63147	145510581	145510672	91	1	"862,703"	"12,5"	"818,1215"	"0,3"	189	0.004893431	0.117201093	"0.974,0.987"	"1.0,0.995"	-0.017	0.0195	0.0025
K562	MAGOH	#N/A	24	68296	145510581	145510643	62	2	"119,87"	"3,4"	"182,139"	"0,0"	160	0.004342001	0.157709199	"0.961,0.931"	"1.0,1.0"	-0.054	0.054	0
K562	EIF4A3	#N/A	24	74622	145510581	145510626	45	0	"32,55"	"2,5"	"104,73"	"0,0"	143	0.001474605	0.037001469	"0.917,0.884"	"1.0,1.0"	-0.099	0.0995	0
